id,team,league_i,pos,name,gift,info,acc,pas,df,ctr,lvl,age,sk_pot,skill_1,skill_2,skill_1_level,skill_2_level,data_reliability
25d949a7-2e77-47fe-b99c-d13d8f576623,"Loures FC (Portugal)
",0,?,rta,0,,17.0,7.0,8.0,12.0,9.0,27.0,5.0,,,,,1.0
df9e165b-8758-4f58-9fac-3c479b2b2ccb,"Loures FC (Portugal)
",0,?,Fortuna,0,,,11.0,8.0,14.0,9.0,31.0,5.0,,,,,0.875
60cce123-d1f3-4014-b628-957552c1d42b,"Loures FC (Portugal)
",0,?,Pina,0,,13.0,6.0,6.0,19.0,9.0,31.0,5.0,,,,,1.0
275aa30c-e171-43fc-94c9-0f3c70f25036,"Loures FC (Portugal)
",0,M,Gloria,1,,24.0,10.0,28.0,6.0,17.0,25.0,6.0,,,1.0,,1.0
acdd27f5-1496-4c47-a32a-a7966b337c8f,"Loures FC (Portugal)
",0,DM,Cardoza,1,,26.0,36.0,8.0,4.0,19.0,26.0,6.0,,,,,1.0
e101e01f-8380-4239-9a0b-7772690d221e,"Loures FC (Portugal)
",0,D,Fitho,0,,14.0,18.0,18.0,6.0,12.0,22.0,5.0,,,3.0,,1.0
7d4b9ffb-fc45-473f-9707-284d2faa6a60,"Loures FC (Portugal)
",0,?,Granado,1,,19.0,17.0,5.0,6.0,10.0,23.0,6.0,,,,,1.0
43e4fcf8-a122-42c2-b263-4bd9b8887a53,"Loures FC (Portugal)
",0,M,Maciel,1,,27.0,3.0,23.0,6.0,16.0,27.0,6.0,,,1.0,,1.0
37f71a41-743c-473d-9983-db37a4f0e3d1,"Dornes FC (Portugal)
",0,GK,Serafin,1,,10.0,7.0,26.0,19.0,15.0,28.0,6.0,,,,,1.0
4f05810b-fe37-4a29-ab6d-a9115f2ceebf,"Dornes FC (Portugal)
",0,CD,Espindola,1,,9.0,6.0,24.0,23.0,15.0,23.0,6.0,,,,,1.0
950f2b18-2217-4768-8cc2-f55329ed7cd5,"Dornes FC (Portugal)
",0,D,Alanis,0,Top-2,6.0,12.0,26.0,9.0,12.0,23.0,5.0,,,,,1.0
e2a212e2-201e-46c7-b1c8-e79e8174234e,"Dornes FC (Portugal)
",0,D,Borges,1,,9.0,6.0,24.0,26.0,16.0,28.0,6.0,,,,,1.0
8438e50d-9a0f-4879-b92e-dcc7d2f1bd8c,"Dornes FC (Portugal)
",0,D,Goes,0,,8.0,3.0,22.0,14.0,10.0,23.0,5.0,,,,,1.0
dfa84e12-c46e-43bb-b6d2-0a5fd14a21cd,"Dornes FC (Portugal)
",0,LM,Leyton,0,,10.0,20.0,11.0,12.0,12.0,23.0,5.0,,,,,1.0
ff75058f-3b4e-4192-87c8-38b62271eeb8,"Dornes FC (Portugal)
",0,M,Baia,1,,7.0,23.0,9.0,11.0,13.0,26.0,6.0,,,,,1.0
c65d8879-896b-4ec1-87c0-5e4737bdd252,"Dornes FC (Portugal)
",0,MF,Antunes,1,,15.0,20.0,7.0,20.0,15.0,33.0,6.0,,,1.0,,1.0
8334cbe7-3b46-435e-85b4-0e2944bfd9a4,"Dornes FC (Portugal)
",0,M,Arruda,1,,13.0,20.0,11.0,18.0,15.0,21.0,6.0,,,,,1.0
47842368-73a5-4803-9ff5-a91a359d9dd6,"Dornes FC (Portugal)
",0,CF,Almeida,1,,26.0,2.0,11.0,23.0,15.0,30.0,6.0,,,,,1.0
f6837735-4379-48b6-9dbe-fde8d55578c4,"Dornes FC (Portugal)
",0,CF,Meneses,1,Top-1,15.0,14.0,12.0,24.0,16.0,32.0,6.0,,,,,1.0
49e56019-71e3-4f83-ba00-8a190b37166a,"Dornes FC (Portugal)
",0,F,Mira,2,,14.0,13.0,9.0,17.0,12.0,25.0,7.0,,,,,1.0
9d600ff3-7a93-477c-b468-17971f4a3b83,"Dornes FC (Portugal)
",0,?,Catado,0,,9.0,6.0,9.0,8.0,5.0,21.0,5.0,,,,,1.0
da188c2e-ae83-4286-ba2e-74c104b1361f,"Dornes FC (Portugal)
",0,?,Cobian,0,,,1.0,15.0,5.0,5.0,22.0,5.0,,,,,0.875
b17b3335-041d-4bf4-a484-72b8f57069c6,"Dornes FC (Portugal)
",0,?,Rita,0,,10.0,9.0,6.0,4.0,4.0,31.0,5.0,,,,,1.0
1cde86d4-0987-462b-ac39-61973472977d,"Dornes FC (Portugal)
",0,?,siva,0,,5.0,12.0,10.0,2.0,4.0,23.0,5.0,,,,,1.0
ae0df537-1574-426e-9a38-bd6c8af8f680,"Dornes FC (Portugal)
",0,?,Barreira,0,,10.0,4.0,6.0,12.0,,27.0,5.0,,,,,0.875
d8ce0c26-752c-489e-80c8-2a0d5a96ae73,"Dornes FC (Portugal)
",0,?,Curr,0,,9.0,5.0,6.0,24.0,9.0,20.0,5.0,,,,,1.0
e92c8843-98b0-4779-b7d7-a50499d43286,"Dornes FC (Portugal)
",0,M,Serafin,0,,9.0,5.0,17.0,13.0,9.0,24.0,5.0,,,,,1.0
e74ba786-e055-47f1-ae76-2d1451b038f3,"Dornes FC (Portugal)
",0,DM,Madruga,0,,5.0,31.0,11.0,9.0,13.0,22.0,5.0,,,,,1.0
b80b8da6-9917-4bf4-a93a-c095dfbae426,"Dornes FC (Portugal)
",0,?,Menor,0,,8.0,11.0,4.0,6.0,4.0,22.0,5.0,,,,,1.0
e9844b83-531b-4b7a-82f1-1d955da323e0,"Dornes FC (Portugal)
",0,?,Pera,0,,3.0,6.0,12.0,11.0,5.0,21.0,5.0,,,,,1.0
bfec873e-c8ae-4276-bbee-ec4faeefef75,"Barreiro FC (Portugal)
",0,G,Cantara,0,,9.0,9.0,24.0,11.0,12.0,31.0,5.0,,,,,1.0
60709d43-93c8-4dd5-9360-9da209dbfc30,"Barreiro FC (Portugal)
",0,CD,Mora,1,,6.0,12.0,23.0,15.0,15.0,32.0,6.0,,,,,1.0
be1dee79-0cab-4b0e-8056-3253867d6b9a,"Barreiro FC (Portugal)
",0,CD,Garces,1,,8.0,4.0,31.0,22.0,16.0,23.0,6.0,,,,,1.0
a282614b-8d12-45e5-8d1c-b760fe0886e3,"Barreiro FC (Portugal)
",0,DF,Prior,1,,3.0,11.0,35.0,13.0,15.0,20.0,6.0,,,,,1.0
7170bf33-fbc7-4ebc-9132-23d7af0ed608,"Barreiro FC (Portugal)
",0,D,Aparicio,0,,8.0,4.0,22.0,13.0,10.0,20.0,5.0,,,,,1.0
5e378982-7b9f-40a6-9cf8-8861e03e13a2,"Barreiro FC (Portugal)
",0,D,Serpa,0,,4.0,16.0,20.0,16.0,13.0,26.0,5.0,,,,,1.0
a7159ab8-7e8f-4181-ad2e-632e4503b75d,"Barreiro FC (Portugal)
",0,M,Goncalves,0,,22.0,19.0,6.0,3.0,11.0,32.0,5.0,,,,,1.0
52f282b8-39d3-494d-9512-55c57d859016,"Barreiro FC (Portugal)
",0,CM,"Tava res,",1,,28.0,24.0,5.0,11.0,17.0,23.0,6.0,,,,,1.0
9abba863-9113-43e0-bec3-06e3d71e9a83,"Barreiro FC (Portugal)
",0,FW,Paes,1,,36.0,16.0,6.0,7.0,16.0,22.0,6.0,,,,,1.0
71b402d7-8063-43fb-98a7-5aa363ad17b7,"Barreiro FC (Portugal)
",0,F,Caldeira,0,,30.0,16.0,7.0,9.0,,20.0,5.0,,,,,0.875
0b4df69f-961a-4f3f-819a-0a5116bd14ac,"Barreiro FC (Portugal)
",0,CF,Gutarte,0,,28.0,7.0,10.0,14.0,14.0,23.0,5.0,,,,,1.0
f550e6d1-ccba-4a61-958c-057f91f7d19a,"Barreiro FC (Portugal)
",0,D,Portanova,1,,8.0,6.0,17.0,,14.0,27.0,6.0,,,,,0.875
31b52e91-78c4-428f-a696-18d0cee04568,"Barreiro FC (Portugal)
",0,D,Guera,0,,12.0,15.0,18.0,5.0,11.0,20.0,5.0,,,,,1.0
bbbbb9d8-637d-471f-9a77-548d169f18f6,"Barreiro FC (Portugal)
",0,D,Sereno,1,,24.0,10.0,14.0,8.0,12.0,33.0,6.0,,,,,1.0
642128a3-38ad-4b9d-b626-6580465d95f2,"Barreiro FC (Portugal)
",0,F,Balsemao,1,,24.0,3.0,5.0,27.0,13.0,30.0,6.0,,,,,1.0
a175eabd-f778-4147-adea-5e8ce02dec4d,"Barreiro FC (Portugal)
",0,?,Claudio,0,,4.0,7.0,17.0,,6.0,26.0,5.0,,,,,0.875
a48a20c1-ffe4-4fd1-88ef-76b5b00fdd3a,"Barreiro FC (Portugal)
",0,?,Meneses,0,,23.0,5.0,6.0,10.0,9.0,31.0,5.0,,,,,1.0
ea506e60-9ff6-4537-92ac-efb8cac1ddf8,"Barreiro FC (Portugal)
",0,?,Escovedo,0,,,2.0,8.0,11.0,5.0,21.0,5.0,,,,,0.875
54fae378-1f25-435a-85a8-628967b3352f,"Barreiro FC (Portugal)
",0,?,Reinoso,0,,7.0,15.0,5.0,8.0,6.0,26.0,5.0,,,,,1.0
7625db33-a58e-4397-aa00-1078c8f158f8,"Barreiro FC (Portugal)
",0,?,Moreira,0,,9.0,3.0,14.0,6.0,5.0,19.0,5.0,,,,,1.0
a25bf052-907a-4db7-bc74-440cec0555b6,"Barreiro FC (Portugal)
",0,DM,Fernandes,1,,24.0,27.0,6.0,14.0,17.0,30.0,6.0,,,,,1.0
ad1e6318-4b89-40ea-8efe-5d286794ca20,"Barreiro FC (Portugal)
",0,?,Antonio,0,,7.0,15.0,9.0,7.0,7.0,26.0,5.0,,,,,1.0
30f15605-52bd-4e38-8071-645dab0fc672,"Barreiro FC (Portugal)
",0,?,Masarenhas,0,,,1.0,23.0,6.0,8.0,31.0,5.0,,,,,0.875
1dafd211-a5d2-404d-abac-b1651128dc4f,"Durraes FC (Portugal)
",0,GK,Dourado,1,,,11.0,28.0,14.0,,30.0,6.0,,,,,0.75
0919981e-b124-41e6-85ad-d64bf0db8b97,"Durraes FC (Portugal)
",0,CD,Fosco,1,,7.0,10.0,33.0,12.0,15.0,24.0,6.0,,,,,1.0
a39ed8f6-e03a-4598-bb60-b7e4258da7df,"Durraes FC (Portugal)
",0,D,Campos,0,,10.0,6.0,26.0,5.0,10.0,20.0,5.0,,,,,1.0
60915d5c-f083-423b-b570-5a8dad86b232,"Durraes FC (Portugal)
",0,CD,Pitta,1,,14.0,9.0,27.0,15.0,15.0,27.0,6.0,,,,,1.0
b8ad1c1a-da04-4957-a4c1-e8fe285d4060,"Durraes FC (Portugal)
",0,D,Natal,1,,14.0,7.0,36.0,5.0,15.0,23.0,6.0,,,,,1.0
66c715a9-d4bd-442c-863c-874fd6daebc6,"Durraes FC (Portugal)
",0,D,Imperial,1,,14.0,18.0,27.0,6.0,15.0,21.0,6.0,,,,,1.0
04b28e1e-e515-4cdf-8522-86367f3e2608,"Durraes FC (Portugal)
",0,RD,Figo,1,,14.0,21.0,25.0,5.0,15.0,32.0,6.0,,,,,1.0
ec762050-6cdb-43d4-a614-63e9dc5e287d,"Durraes FC (Portugal)
",0,?,Sardinna,0,,8.0,25.0,6.0,5.0,9.0,28.0,5.0,,,,,1.0
95979fdf-e7c5-4167-852e-5d8eb424c6ae,"Durraes FC (Portugal)
",0,CM,Inocencio,0,Top-1,16.0,27.0,8.0,5.0,13.0,32.0,5.0,,,,,1.0
e62cd971-3132-4c75-8f60-a3876407ea31,"Durraes FC (Portugal)
",0,F,Casal,0,,20.0,9.0,8.0,16.0,12.0,32.0,5.0,,,,,1.0
987ed8cf-0fbe-4414-8dd7-1addc00ede05,"Durraes FC (Portugal)
",0,CF,Porfirio,0,Top-1,25.0,6.0,7.0,18.0,13.0,20.0,5.0,,,3.0,,1.0
23d441a7-f32c-4046-963f-9cc6e1259fbb,"Durraes FC (Portugal)
",0,D,Feitor,1,,13.0,16.0,17.0,4.0,11.0,23.0,6.0,,,,,1.0
72707759-5323-4c58-916a-8815c9c3180f,"Durraes FC (Portugal)
",0,F,Dida,1,,15.0,6.0,13.0,,15.0,20.0,6.0,,,,,0.875
448c0327-ad3f-4dac-8403-485cd0991d64,"Durraes FC (Portugal)
",0,?,Vasconcelos,0,,6.0,8.0,11.0,13.0,77.0,22.0,5.0,,,,,1.0
5ef04fdd-9d51-4d48-85eb-1e6217f2442c,"Durraes FC (Portugal)
",0,?,Manuel,0,,,4.0,12.0,5.0,5.0,20.0,5.0,,,,,0.875
25303cea-ec5c-4a21-855a-b97d23be9f1f,"Durraes FC (Portugal)
",0,?,Melo,1,,17.0,3.0,12.0,9.0,8.0,21.0,6.0,,,,,1.0
c4d977b6-6ed5-4f66-86d5-4f5f1de7f1ef,"Durraes FC (Portugal)
",0,?,Caram,0,,5.0,8.0,14.0,8.0,6.0,21.0,5.0,,,,,1.0
fece0002-8b77-471f-9199-ebfa44b9cf42,"Durraes FC (Portugal)
",0,?,Vviteta,0,,6.0,5.0,12.0,9.0,5.0,23.0,5.0,,,,,1.0
012808a8-8b88-480e-affc-8d043eb12db4,"Durraes FC (Portugal)
",0,?,Romeu,0,,10.0,5.0,6.0,11.0,5.0,31.0,5.0,,,,,1.0
a53a373f-6e3c-471a-9d47-85c834312187,"Durraes FC (Portugal)
",0,?,Quadros,0,,9.0,8.0,7.0,5.0,4.0,24.0,5.0,,,,,1.0
e052898a-10da-4091-951c-99c86ca09b65,"Durraes FC (Portugal)
",0,?,Amaro,2,,8.0,11.0,7.0,3.0,4.0,26.0,7.0,,,,,1.0
b8b2f837-75a5-4a81-ad77-76e5ac63a152,"Durraes FC (Portugal)
",0,?,Barbosa,0,,,12.0,3.0,3.0,4.0,23.0,5.0,,,,,0.875
a0729c2b-318f-4ecf-a517-7ce4d4d5227a,"Durraes FC (Portugal)
",0,?,Chapa,0,,6.0,11.0,7.0,14.0,7.0,31.0,5.0,,,,,1.0
32734d96-039b-45a7-934c-1726ab71bced,"Durraes FC (Portugal)
",0,?,Daniel,0,,12.0,8.0,4.0,8.0,5.0,31.0,5.0,,,,,1.0
b4946f18-fbcc-4606-96a5-8a13cc185956,"Paredish FC (Portugal)
",0,G,Fama,0,,3.0,9.0,22.0,8.0,10.0,30.0,5.0,,,,,1.0
7dc789fc-4258-4690-801c-37fe304646ef,"Paredish FC (Portugal)
",0,SW,Paneira,0,,9.0,11.0,18.0,12.0,11.0,23.0,5.0,,,,,1.0
cd8ad2e3-e3e9-40e1-9fd7-d567b8f2fab7,"Paredish FC (Portugal)
",0,LD,Fragoso,0,,7.0,22.0,17.0,4.0,11.0,27.0,5.0,,,,,1.0
02718c56-ef65-4d7e-ada1-bab70ac03122,"Paredish FC (Portugal)
",0,?,Cristo,0,,5.0,10.0,23.0,9.0,10.0,31.0,5.0,,,,,1.0
80da8561-80aa-464b-bdde-39f894282c7a,"Paredish FC (Portugal)
",0,D,Verissimo,1,Top-1,9.0,17.0,22.0,17.0,16.0,30.0,6.0,,,,,1.0
55695089-9803-4724-887f-25c2840b9e48,"Paredish FC (Portugal)
",0,M,Da Cruz,0,,6.0,20.0,8.0,13.0,10.0,28.0,5.0,,,,,1.0
7768bebd-5f27-451a-8b3d-2278346b4285,"Paredish FC (Portugal)
",0,MF,Serpa,1,Top-2,14.0,30.0,10.0,11.0,16.0,31.0,6.0,,,,,1.0
2adcca29-56d4-4c62-860d-9de2828b418f,"Paredish FC (Portugal)
",0,AM,Loureiro,0,,,22.0,7.0,7.0,10.0,31.0,5.0,,,,,0.875
91fd52ca-4b73-4570-afa6-cab51ba7a347,"Paredish FC (Portugal)
",0,FW,Da Rosa,1,,24.0,4.0,5.0,23.0,14.0,27.0,6.0,,,1.0,,1.0
edb4cebd-37f4-4c29-8e84-c9ae6e43e298,"Paredish FC (Portugal)
",0,CF,Naves,1,Top-1,32.0,8.0,12.0,7.0,14.0,30.0,6.0,,,1.0,,1.0
3f647b12-4797-4b5b-8edb-a109e3d05ba5,"Paredish FC (Portugal)
",0,FW,Curto,0,,19.0,17.0,8.0,12.0,13.0,23.0,5.0,,,3.0,,1.0
05550885-f2dc-4c50-8209-b0c012ccba13,"Paredish FC (Portugal)
",0,M,Secreta rio,0,,19.0,16.0,10.0,5.0,11.0,31.0,5.0,,,,,1.0
1b9bfc9b-252d-4954-a58a-2e08c34537b5,"Paredish FC (Portugal)
",0,M,Casimiro,0,,17.0,13.0,10.0,13.0,12.0,23.0,5.0,,,,,1.0
88cff60c-19a4-4b8e-b391-83694d6a6c16,"Paredish FC (Portugal)
",0,F,Capote,1,,16.0,9.0,8.0,14.0,10.0,30.0,6.0,,,,,1.0
d931d4e8-81dc-473d-b030-fd2b7e2ab8fd,"Paredish FC (Portugal)
",0,?,Cara,0,,5.0,4.0,11.0,15.0,6.0,28.0,5.0,,,,,1.0
1c9485f8-3b92-495c-83bf-591fd7901d89,"Paredish FC (Portugal)
",0,?,Quintal,0,,8.0,2.0,10.0,12.0,5.0,,5.0,,,,,0.875
206d3529-d939-4bba-bac6-087e8e2c8768,"Paredish FC (Portugal)
",0,?,Ramon,0,,44.0,2.0,8.0,8.0,24.0,28.0,5.0,,,,,1.0
208ad369-7486-41f0-a23c-c67be72bc64a,"Paredish FC (Portugal)
",0,?,Freitas,0,,5.0,9.0,14.0,10.0,77.0,32.0,5.0,,,,,1.0
cc9630c7-1895-40cb-b1b5-26f708a40373,"Paredish FC (Portugal)
",0,?,Mira,0,,,6.0,5.0,13.0,6.0,33.0,5.0,,,,,0.875
a3827839-d3b7-41b1-a41f-5e0cc1c14309,"Paredish FC (Portugal)
",0,F,Soares,1,,18.0,9.0,8.0,21.0,,,6.0,,,,,0.75
a3f79ca2-b22b-488f-ae32-14fe745b7414,"Paredish FC (Portugal)
",0,LF,siva,1,,29.0,8.0,15.0,7.0,14.0,30.0,6.0,,,,,1.0
dbd6389b-481a-426a-b651-9ea410a4a3e1,"Paredish FC (Portugal)
",0,?,Cadete,1,,3.0,11.0,5.0,10.0,4.0,23.0,6.0,,,,,1.0
748c0a5c-8099-4469-9283-0baeb11aa9a5,"Paredish FC (Portugal)
",0,?,Peixe,0,,9.0,9.0,6.0,5.0,4.0,32.0,5.0,,,,,1.0
57388ed2-c71e-4e5d-9d45-d0376ff6d7db,"Lola FC (Portugal)
",0,GK,Souza,1,Top-3,3.0,2.0,24.0,15.0,29.0,32.0,6.0,,,,,1.0
a8df3ba6-06f0-4e4a-9ca8-80192eb4314e,"Lola FC (Portugal)
",0,CD,Pequeno,0,,2.0,4.0,,10.0,7.0,27.0,5.0,,,,,0.875
9d533388-d4e5-48aa-827b-0cc3c9a7e289,"Lola FC (Portugal)
",0,D,Regalo,0,,18.0,9.0,18.0,8.0,12.0,27.0,5.0,,,1.0,,1.0
0b641332-7e50-45e5-9992-e1451479be5b,"Lola FC (Portugal)
",0,?,Anjos,0,,9.0,4.0,18.0,10.0,8.0,24.0,5.0,,,,,1.0
d7462ad7-3e93-4f76-9b6d-1a37e4d3a6a4,"Lola FC (Portugal)
",0,D,Alvernaz,0,,3.0,5.0,20.0,13.0,8.0,25.0,5.0,,,,,1.0
8a1dfde9-7621-4313-9cc2-79ca143f061b,"Lola FC (Portugal)
",0,?,Corte,0,,4.0,20.0,6.0,5.0,76.0,23.0,5.0,,,,,1.0
fafc775a-6a33-42e1-a454-9aefe09cf696,"Lola FC (Portugal)
",0,CM,Santoso,0,,10.0,23.0,4.0,4.0,8.0,33.0,5.0,,,,,1.0
57554a22-05b1-4c5c-9872-17bea21dcd9d,"Lola FC (Portugal)
",0,M,Meneses,1,,,20.0,7.0,9.0,10.0,21.0,6.0,,,,,0.875
a55b407f-4c78-4692-83d1-24cc6b62b1d1,"Lola FC (Portugal)
",0,M,Moritlo,0,,16.0,18.0,5.0,2.0,8.0,27.0,5.0,,,,,1.0
9e608d19-c4ee-43bf-b515-08e3c0baf4cc,"Lola FC (Portugal)
",0,F,Dias,0,,,6.0,5.0,4.0,6.0,30.0,5.0,,,,,0.875
0e47fd63-2bb0-4526-9699-e76a04631fa7,"Lola FC (Portugal)
",0,CF,Rio,0,,18.0,12.0,9.0,5.0,9.0,20.0,5.0,,,,,1.0
75ae0e02-298a-4935-88bc-eb5fcf2175d2,"Lola FC (Portugal)
",0,CD,Elias,0,,7.0,9.0,16.0,12.0,9.0,22.0,5.0,,,,,1.0
5dfa9683-0f2c-4b9b-9bf3-0ebf2279eb94,"Lola FC (Portugal)
",0,M,Cacho,0,,7.0,15.0,7.0,12.0,8.0,28.0,5.0,,,,,1.0
05635e34-3277-4998-bfb5-97fc21f0f1f7,"Lola FC (Portugal)
",0,?,Freire,0,,13.0,1.0,7.0,11.0,5.0,,5.0,,,,,0.875
18e76398-37c1-434e-8090-989078cc434f,"Lola FC (Portugal)
",0,?,apuente,0,,3.0,3.0,9.0,,3.0,33.0,5.0,,,,,0.875
3331297c-319e-4b7c-bc70-63496edf306d,"Lola FC (Portugal)
",0,?,Lobato,0,,3.0,2.0,,,1.0,30.0,5.0,,,,,0.75
66053e6e-27ce-4dd9-b0ce-105cdad5bff9,"Lola FC (Portugal)
",0,?,Da Rosa,0,,10.0,6.0,2.0,17.0,6.0,26.0,5.0,,,,,1.0
17e26d2b-b9bc-4eb9-8f2f-48b9cd5bf74f,"Lola FC (Portugal)
",0,?,Flore,0,,10.0,7.0,3.0,15.0,6.0,24.0,5.0,,,,,1.0
05e57a05-05c8-4938-9838-df175c93233e,"Lola FC (Portugal)
",0,?,Cristosteme,0,,,2.0,2.0,,1.0,25.0,5.0,,,,,0.75
4f2bbd20-e03c-44c7-9dac-20bb29b39a82,"Lola FC (Portugal)
",0,?,Rentas,1,,,,,,1.0,20.0,6.0,,,,,0.5
7eebac8d-c67d-45d5-9f00-e64a56c5ecab,"Lola FC (Portugal)
",0,?,Pesqueira,0,,,,,1.0,1.0,20.0,5.0,,,,,0.625
3714e739-2181-43e8-8e0c-46b66451803f,"Lola FC (Portugal)
",0,?,Amado,0,,,2.0,,3.0,1.0,20.0,5.0,,,,,0.75
23439006-cd84-4a3e-b516-31e712b631d9,"Lola FC (Portugal)
",0,?,Manuel,0,,8.0,5.0,10.0,18.0,8.0,20.0,5.0,,,,,1.0
d7d9b42a-ab7e-4a64-aac3-5f58933e552d,"Lola FC (Portugal)
",0,?,Lobato,0,,3.0,2.0,6.0,9.0,71.0,30.0,5.0,,,,,1.0
b24f94e4-4046-4c96-bf01-b4637679df52,"Gouveia FC (Portugal)
",0,GK,Magalhaes,0,Top-1,8.0,5.0,22.0,15.0,11.0,21.0,5.0,,,,,1.0
83f74214-4eae-4cd6-a439-b0339b25e4ef,"Gouveia FC (Portugal)
",0,SW,Aparicio,0,,8.0,17.0,17.0,11.0,12.0,23.0,5.0,,,,,1.0
c9b1527f-e317-4045-b874-401693fd214f,"Gouveia FC (Portugal)
",0,D,Montez,0,,12.0,2.0,19.0,17.0,11.0,25.0,5.0,,,,,1.0
cc8c8394-e1fd-43c6-8c24-cdd76a955522,"Gouveia FC (Portugal)
",0,D,Bracamonte,1,,7.0,8.0,32.0,18.0,16.0,23.0,6.0,,,,,1.0
db3d277f-4a21-462a-b3d6-5c88517e519c,"Gouveia FC (Portugal)
",0,DF,Meireles,0,,6.0,10.0,26.0,8.0,11.0,26.0,5.0,,,,,1.0
9f424a41-a0b3-42c9-baac-c35308505f2c,"Gouveia FC (Portugal)
",0,D,Lizardo,1,,6.0,5.0,31.0,20.0,15.0,26.0,6.0,,,,,1.0
3652d885-cfc4-44dc-871e-ade775f22075,"Gouveia FC (Portugal)
",0,RD,Pina,1,,10.0,20.0,24.0,11.0,16.0,20.0,6.0,,,,,1.0
2f34d8fc-d506-4ecc-a1b6-7162833ccadc,"Gouveia FC (Portugal)
",0,CM,Cortes,0,,9.0,26.0,5.0,7.0,10.0,26.0,5.0,,,,,1.0
1b84ed46-803d-4460-be40-c382d38830b2,"Gouveia FC (Portugal)
",0,CM,Agre,0,,8.0,24.0,9.0,9.0,11.0,19.0,5.0,,,,,1.0
099c7e9a-1041-45a7-8a99-ce0a9aef9923,"Gouveia FC (Portugal)
",0,FW,Godines,1,,25.0,5.0,22.0,13.0,16.0,21.0,6.0,,,,,1.0
f098a644-0863-4470-8076-ef8c005e6245,"Gouveia FC (Portugal)
",0,CF,Sardinha,0,,26.0,4.0,6.0,11.0,10.0,22.0,5.0,,,,,1.0
366b1a2a-bc62-4952-8a52-bbcbea8920b9,"Gouveia FC (Portugal)
",0,?,Barreira,0,,7.0,6.0,16.0,9.0,77.0,33.0,5.0,,,,,1.0
543b11a7-dc31-431a-b8fa-56240aa6cbea,"Gouveia FC (Portugal)
",0,?,Hilario,1,,18.0,11.0,4.0,8.0,8.0,28.0,6.0,,,,,1.0
9d153a74-edec-416a-838f-7b61f9a410fc,"Gouveia FC (Portugal)
",0,?,Isabel,0,,9.0,5.0,5.0,13.0,5.0,31.0,5.0,,,,,1.0
